"dateid01","euro","sterling"
1/1/1999,0.8759,0.6075
2/1/1999,0.9099,0.6244
3/1/1999,0.932,0.6205
4/1/1999,0.941,0.6208
5/1/1999,0.9556,0.6238
6/1/1999,0.9671,0.6349
7/1/1999,0.9316,0.619
8/1/1999,0.9517,0.6278
9/1/1999,0.9394,0.6082
10/1/1999,0.9494,0.61
11/1/1999,0.9898,0.6233
12/1/1999,0.992,0.6191
1/1/2000,1.0199,0.617
2/1/2000,1.0332,0.6261
3/1/2000,1.0433,0.6274
4/1/2000,1.0971,0.636
5/1/2000,1.0743,0.6677
6/1/2000,1.0494,0.6584
7/1/2000,1.0831,0.6645
8/1/2000,1.1187,0.6868
9/1/2000,1.134,0.6832
10/1/2000,1.1894,0.6896
11/1/2000,1.1649,0.7042
12/1/2000,1.0764,0.6706
1/1/2001,1.079,0.684
2/1/2001,1.0903,0.6943
3/1/2001,1.1368,0.7004
4/1/2001,1.1213,0.6963
5/1/2001,1.1741,0.7025
6/1/2001,1.1827,0.71
7/1/2001,1.1424,0.7001
8/1/2001,1.0885,0.6851
9/1/2001,1.0934,0.6795
10/1/2001,1.1023,0.6881
11/1/2001,1.1275,0.7025
12/1/2001,1.1289,0.689
1/1/2002,1.1593,0.7068
2/1/2002,1.1574,0.7049
3/1/2002,1.1448,0.7011
4/1/2002,1.1071,0.6863
5/1/2002,1.0657,0.6822
6/1/2002,1.0119,0.6551
7/1/2002,1.0166,0.6356
8/1/2002,1.0154,0.6457
9/1/2002,1.0175,0.6396
10/1/2002,1.0125,0.6409
11/1/2002,1.0066,0.6446
12/1/2002,0.9543,0.6238
1/1/2003,0.9244,0.6047
2/1/2003,0.9298,0.6333
3/1/2003,0.9238,0.6342
4/1/2003,0.899,0.6263
5/1/2003,0.8422,0.6058
6/1/2003,0.875,0.605
7/1/2003,0.8822,0.62
8/1/2003,0.9195,0.6344
9/1/2003,0.8597,0.5986
10/1/2003,0.8605,0.5894
11/1/2003,0.8392,0.5833
12/1/2003,0.7951,0.5615
1/1/2004,0.8055,0.5505
2/1/2004,0.8041,0.5367
3/1/2004,0.8174,0.5455
4/1/2004,0.8356,0.5636
5/1/2004,0.819,0.5446
6/1/2004,0.8277,0.5538
7/1/2004,0.8305,0.5508
8/1/2004,0.8281,0.5563
9/1/2004,0.8107,0.5552
10/1/2004,0.785,0.5466
11/1/2004,0.7534,0.529
12/1/2004,0.7339,0.519
1/1/2005,0.7677,0.5307
2/1/2005,0.7541,0.5204
3/1/2005,0.7738,0.5321
4/1/2005,0.7728,0.5225
5/1/2005,0.8067,0.551
6/1/2005,0.8269,0.5531
7/1/2005,0.8245,0.5697
8/1/2005,0.8193,0.5602
9/1/2005,0.8307,0.5678
10/1/2005,0.83,0.5638
11/1/2005,0.8491,0.5821
12/1/2005,0.8416,0.5787
1/1/2006,0.8266,0.5652
2/1/2006,0.8433,0.5745
3/1/2006,0.8226,0.573
4/1/2006,0.7982,0.555
5/1/2006,0.7768,0.531
6/1/2006,0.7858,0.5447
7/1/2006,0.7835,0.5363
8/1/2006,0.7797,0.5251
9/1/2006,0.7876,0.5336
10/1/2006,0.7867,0.5265
11/1/2006,0.7592,0.5131
12/1/2006,0.7598,0.5093
