"dateid01","di6_aus","di6_us","inf_aus","inf_us","ner"
1/1/1986,,,,,71.6
2/1/1986,-5.391,-0.569,0,-0.2747,70.1
3/1/1986,-10.707,-10.997,0,-0.4583,71.2
4/1/1986,-11.993,-2.092,1.6475,-0.2156,73.9
5/1/1986,-1.949,3.985,0,0.307,71.7
6/1/1986,0,-7.291,0,0.49,67.7
7/1/1986,16.845,-2.553,2.5801,0.0303,59.8
8/1/1986,12.903,-11.499,0,0.1817,60.9
9/1/1986,0.757,4.167,0,0.4866,62.7
10/1/1986,-7.719,-2.062,2.8257,0.0903,64.2
11/1/1986,-2.669,2.617,0,0.0902,64.9
12/1/1986,-3.806,3.801,0,0.0919,66.5
1/1/1987,10.65,-0.713,1.9619,0.6006,66.1
2/1/1987,-1.698,-2.536,0,0.3909,67.5
3/1/1987,-6.638,5.184,0,0.4468,70.5
4/1/1987,-7.814,3.761,1.5066,0.5349,70.5
5/1/1987,-7.481,3.301,0,0.2958,71.4
6/1/1987,-4.518,-4.143,0,0.4119,72
7/1/1987,-1.202,3.981,1.6618,0.2062,69.8
8/1/1987,-0.81,2.41,0,0.5563,71.2
9/1/1987,-10.807,8.078,0,0.4938,71.9
10/1/1987,10.807,-13.29,1.6904,0.2612,67.6
11/1/1987,-15.822,1.987,0,0.1456,70.5
12/1/1987,1.887,1.141,0,-0.0406,72.3
1/1/1988,-3.81,-2.295,1.7772,0.2603,71.4
2/1/1988,2.682,-4.234,0,0.2579,72
3/1/1988,-2.877,4.4,0,0.4301,73.9
4/1/1988,1.161,5.162,1.6906,0.515,75.9
5/1/1988,15.552,7.276,0,0.3396,80.5
6/1/1988,-5.672,-1.919,0,0.4246,79.4
7/1/1988,7.709,6.071,1.881,0.4244,80.5
8/1/1988,2.075,4.926,0,0.421,80.7
9/1/1988,8.622,-0.401,0,0.669,78.3
10/1/1988,1.296,0.401,2.0619,0.3336,82.6
11/1/1988,4.818,6.212,0,0.0828,87.8
12/1/1988,3.087,2.845,0,0.1671,85.6
1/1/1989,2.093,2.648,0.9623,0.4963,88.9
2/1/1989,3.685,3.386,0,0.412,80
3/1/1989,-3.169,3.164,0,0.5733,81.9
4/1/1989,4.532,-5.605,2.4169,0.6526,79.3
5/1/1989,6.953,-1.422,0,0.5663,74.8
6/1/1989,-1.387,-8.203,0,0.2426,75.5
7/1/1989,-2.237,-3.56,2.2589,0.2421,75.2
8/1/1989,0.475,4.334,0,0.16,76.6
9/1/1989,2.919,1.531,0,0.3208,77.6
10/1/1989,1.711,-4.135,1.861,0.4785,78.3
11/1/1989,-2.869,-2.539,0,0.2392,78.2
12/1/1989,-4.16,1.211,0,0.1581,79.3
1/1/1990,-5.937,3.029,1.6911,1.0262,77.1
2/1/1990,-0.064,0.13,0,0.4695,75.9
3/1/1990,-4.75,1.159,0,0.5447,75.4
4/1/1990,-1.361,2.279,1.5729,0.1562,75.1
5/1/1990,0.819,-3.697,0,0.233,76.9
6/1/1990,-0.613,-1.176,0,0.5397,78.9
7/1/1990,-1.724,-3.749,0.778,0.3841,79
8/1/1990,-6.686,0.408,0,0.9153,81.6
9/1/1990,-2.104,-2.615,0,0.8335,82.7
10/1/1990,-5.783,-1.122,2.5799,0.6001,78.5
11/1/1990,-2.691,-1.135,0,0.225,77.5
